Time,Status,Forward Distance,Right Distance,Right Angle
2.1457672119140625e-06,-2,10,0.1,0
0.010526657104492188,-2,10,0.1,0
0.04869508743286133,-2,10,0.1,0
0.06069588661193848,-2,10,0.1,0
0.07088279724121094,-2,10,0.1,0
0.0829017162322998,-2,10,0.1,0
0.10064244270324707,-2,10,0.1,0
0.11252593994140625,-2,10,0.1,0
0.1314682960510254,-2,10,0.1,0
0.14355182647705078,-2,10,0.1,0
0.1542832851409912,-2,10,0.1,0
0.16765069961547852,-2,10,0.1,0
0.1861591339111328,-2,10,0.1,0
0.20198988914489746,-2,10,0.1,0
0.2175607681274414,-2,10,0.1,0
0.22934722900390625,-2,10,0.1,0
0.24134325981140137,-2,10,0.1,0
0.2534801959991455,-2,10,0.1,0
0.2655148506164551,-2,10,0.1,0
0.2758162021636963,-2,10,0.1,0
0.28641271591186523,-2,10,0.1,0
0.29825258255004883,-2,10,0.1,0
0.3103322982788086,-2,10,0.1,0
0.32076358795166016,-2,10,0.1,0
0.3322622776031494,-2,10,0.1,0
0.3436555862426758,-2,10,0.1,0
0.3558530807495117,-2,10,0.1,0
0.3659343719482422,-2,10,0.1,0
0.3760488033294678,-2,10,0.1,0
0.3861527442932129,-2,10,0.1,0
0.3962593078613281,-2,10,0.1,0
0.40636181831359863,-2,10,0.1,0
0.41642117500305176,-2,10,0.1,0
0.42652201652526855,-2,10,0.1,0
0.43663454055786133,-2,10,0.1,0
0.4467470645904541,-2,10,0.1,0
0.4570467472076416,-2,10,0.1,0
0.4671628475189209,-2,10,0.1,0
0.4772655963897705,-2,10,0.1,0
0.48737382888793945,-2,10,0.1,0
0.49747538566589355,-2,10,0.1,0
0.5076162815093994,-2,10,0.1,0
0.5177135467529297,-2,10,0.1,0
0.5278091430664062,-2,10,0.1,0
0.5379140377044678,-2,10,0.1,0
0.5480191707611084,-2,10,0.1,0
0.5581233501434326,-2,10,0.1,0
0.5682334899902344,-2,10,0.1,0
0.5783345699310303,-2,10,0.1,0
0.588437557220459,-2,10,0.1,0
0.5985488891601562,-2,10,0.1,0
0.6086606979370117,-2,10,0.1,0
0.6187949180603027,-2,10,0.1,0
0.6289041042327881,-2,10,0.1,0
0.6390087604522705,-2,10,0.1,0
0.6491115093231201,-2,10,0.1,0
0.6592259407043457,-2,10,0.1,0
0.6693313121795654,-2,10,0.1,0
0.6794834136962891,-2,10,0.1,0
0.6896312236785889,-2,10,0.1,0
0.6997811794281006,-2,10,0.1,0
0.7099273204803467,-2,10,0.1,0
0.7200837135314941,-2,10,0.1,0
0.7302281856536865,-2,10,0.1,0
0.7403445243835449,-2,10,0.1,0
0.7504875659942627,-2,10,0.1,0
0.7605984210968018,-2,10,0.1,0
0.7707839012145996,-2,10,0.1,0
0.7809436321258545,-2,10,0.1,0
0.7910630702972412,-2,10,0.1,0
0.8012435436248779,-2,10,0.1,0
0.8114063739776611,-2,10,0.1,0
0.8215537071228027,-2,10,0.1,0
0.8317019939422607,-2,10,0.1,0
0.8534314632415771,-2,10,0.1,0
0.863774299621582,-2,10,0.1,0
0.8739159107208252,-2,10,0.1,0
0.884108304977417,-2,10,0.1,0
0.8943078517913818,-2,10,0.1,0
0.9044623374938965,-2,10,0.1,0
0.9146184921264648,-2,10,0.1,0
0.9247767925262451,-2,10,0.1,0
0.9349329471588135,-2,10,0.1,0
0.9451243877410889,-2,10,0.1,0
0.9552457332611084,-2,10,0.1,0
0.9654128551483154,-2,10,0.1,0
0.9755985736846924,-2,10,0.1,0
0.9857738018035889,-2,10,0.1,0
